Error Type,Topic Guid,Message
Warning,2c3d2545-1cd7-497e-b535-12199d8edfbb,Fixing missing end table tag in file:2c3d2545-1cd7-497e-b535-12199d8edfbb.md
Warning,2c3d2545-1cd7-497e-b535-12199d8edfbb,Fixing missing end table tag in file:2c3d2545-1cd7-497e-b535-12199d8edfbb.md
Warning,2c3d2545-1cd7-497e-b535-12199d8edfbb,Fixing missing end table tag in file:2c3d2545-1cd7-497e-b535-12199d8edfbb.md
Warning,2c3d2545-1cd7-497e-b535-12199d8edfbb,Fixing missing end table tag in file:2c3d2545-1cd7-497e-b535-12199d8edfbb.md
Warning,2c3d2545-1cd7-497e-b535-12199d8edfbb,Fixing missing end table tag in file:2c3d2545-1cd7-497e-b535-12199d8edfbb.md
Warning,2c3d2545-1cd7-497e-b535-12199d8edfbb,Fixing missing end table tag in file:2c3d2545-1cd7-497e-b535-12199d8edfbb.md
Warning,2c3d2545-1cd7-497e-b535-12199d8edfbb,Fixing missing end table tag in file:2c3d2545-1cd7-497e-b535-12199d8edfbb.md
Warning,2c3d2545-1cd7-497e-b535-12199d8edfbb,Found invalid tables saving file:2c3d2545-1cd7-497e-b535-12199d8edfbb.md
Warning,2de035a0-ac75-43bd-9665-5c5a59c4c590,Found a an ul list inside a table in html file:2de035a0-ac75-43bd-9665-5c5a59c4c590.xml
Warning,2de035a0-ac75-43bd-9665-5c5a59c4c590,Missing tables headers in file:2de035a0-ac75-43bd-9665-5c5a59c4c590.md
Warning,2de035a0-ac75-43bd-9665-5c5a59c4c590,Found nested table in md file:2de035a0-ac75-43bd-9665-5c5a59c4c590.md
Warning,2ec857d5-dc6f-4cf6-ba45-adc845ef2a25,Missing tables headers in file:2ec857d5-dc6f-4cf6-ba45-adc845ef2a25.md
Warning,2f65ba3f-b246-4064-b4fb-ad18399d387a,Found nested table in md file:2f65ba3f-b246-4064-b4fb-ad18399d387a.md
Warning,2f65ba3f-b246-4064-b4fb-ad18399d387a,Fixing missing end table tag in file:2f65ba3f-b246-4064-b4fb-ad18399d387a.md
Warning,2f65ba3f-b246-4064-b4fb-ad18399d387a,Found invalid tables saving file:2f65ba3f-b246-4064-b4fb-ad18399d387a.md
Warning,3034f03c-2d5a-46de-9cb8-2c101ff194fa,Missing tables headers in file:3034f03c-2d5a-46de-9cb8-2c101ff194fa.md
Warning,3034f03c-2d5a-46de-9cb8-2c101ff194fa,Fixing missing end table tag in file:3034f03c-2d5a-46de-9cb8-2c101ff194fa.md
