Error Type,Topic Guid,Message
Warning,02128c70-9d27-4388-9374-a11bce68fdb8,Video is found in md file:02128c70-9d27-4388-9374-a11bce68fdb8.md total found:1
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Video is found in md file:0572894d-c437-4b7d-8ac6-8405496e2145.md total found:1
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Found invalid msdn links in md file:0572894d-c437-4b7d-8ac6-8405496e2145.md
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<a href="http://msdn2.microsoft.com/ZH-CN/library/6sh2ey19" target="_blank">List&lt;T&gt;</a> in md file:0572894d-c437-4b7d-8ac6-8405496e2145.md total found:0
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Missing tables headers in file:0572894d-c437-4b7d-8ac6-8405496e2145.md
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Fixing missing end table tag in file:0572894d-c437-4b7d-8ac6-8405496e2145.md
Warning,0572894d-c437-4b7d-8ac6-8405496e2145,Found invalid tables saving file:0572894d-c437-4b7d-8ac6-8405496e2145.md
Error,05b07b04-6c8b-4b7e-bd86-e32c589dfead,Checking for list in tables in file:05b07b04-6c8b-4b7e-bd86-e32c589dfead.xml message:System.Collections.ArrayList
Error,05b07b04-6c8b-4b7e-bd86-e32c589dfead,CHecking Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content in md file:05b07b04-6c8b-4b7e-bd86-e32c589dfead.md message:System.Collections.ArrayList
Error,05b07b04-6c8b-4b7e-bd86-e32c589dfead,Checking for missing tables headers in file:05b07b04-6c8b-4b7e-bd86-e32c589dfead.md message:System.Collections.ArrayList
Error,05b07b04-6c8b-4b7e-bd86-e32c589dfead,Running transform:ConceptualTransform.xslt on file:05b07b04-6c8b-4b7e-bd86-e32c589dfead.xml message:System.Collections.ArrayList
Error,05b07b04-6c8b-4b7e-bd86-e32c589dfead,Checking for nested tables in file:c:\dsbs\Builds\o15devdoc\2052\Content\mod_sp15_appscope\Working\markdown\05b07b04-6c8b-4b7e-bd86-e32c589dfead.md message:System.Collections.ArrayList
Warning,06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5,Found invalid msdn links in md file:06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5.md
Warning,06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5,Missing tables headers in file:06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5.md
Warning,06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5,Fixing missing end table tag in file:06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5.md
Warning,06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5,Found invalid tables saving file:06e5737d-7843-4c1e-9e3d-a7b3ba67c3f5.md
Error,08eb049f-eaf8-478d-9af6-9565e8bb24f2,Checking for list in tables in file:08eb049f-eaf8-478d-9af6-9565e8bb24f2.xml message:System.Collections.ArrayList
Error,08eb049f-eaf8-478d-9af6-9565e8bb24f2,CHecking Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content in md file:08eb049f-eaf8-478d-9af6-9565e8bb24f2.md message:System.Collections.ArrayList
Error,08eb049f-eaf8-478d-9af6-9565e8bb24f2,Checking for missing tables headers in file:08eb049f-eaf8-478d-9af6-9565e8bb24f2.md message:System.Collections.ArrayList
