VBA Project,GUID,Friendly name
mod_sp15_appscope,b00bc2ee-27dc-4ea9-bfc2-c8d46d07ea58,associate-a-document-library-with-an-entity
mod_sp15_appscope,3eec1f65-addb-4bfa-940c-dae3ac1e0c8a,enable-a-newsfeed-for-a-cloud-business-add-in
mod_sp15_appscope,78df5ac7-a832-4fd0-89dc-9e440eefd7c8,provide-a-template-for-a-document-library-in-a-cloud-business-add-in
mod_sp15_appscope,b96f887d-d892-4b1d-b832-a3f61228c5cf,create-a-cloud-business-add-in-that-uses-the-sap-gateway
mod_sp15_appscope,8dec09e6-e197-4f68-bcc2-ca41105c5d61,incident-manager-a-cloud-business-add-in-tutorial
mod_sp15_appscope,fe15c732-eea0-43cf-92e8-99ff776cb9e2,create-a-cloud-business-add-in-with-a-social-newsfeed
mod_sp15_appscope,25d84ac5-d2b3-40c7-962d-1408aacf14ed,use-a-sharepoint-website-s-style-sheet-in-sharepoint-add-ins
mod_sp15_appscope,7c2d0812-76e8-44c1-88bf-4a75eb6f82b1,use-the-client-chrome-control-in-sharepoint-add-ins
mod_sp15_appscope,a2664289-6c56-4cb1-987a-22367fad55eb,create-add-in-parts-to-install-with-your-sharepoint-add-in
mod_sp15_appscope,bbd11f94-1798-453e-bbb0-e5eb0df8dc75,create-custom-actions-to-deploy-with-sharepoint-add-ins
mod_sp15_appscope,8d5cabb2-70d0-46a0-bfe0-9e21f8d67d86,customize-a-list-view-in-sharepoint-add-ins-using-client-side-rendering
mod_sp15_appscope,383f265f-ed44-4d09-b2f6-366f13d52347,use-the-client-side-people-picker-control-in-sharepoint-hosted-sharepoint-add-in
mod_sp15_appscope,bfa367bb-d2f5-4e3f-bf48-61b77f150f7d,highlight-content-and-enhance-the-functionality-of-sharepoint-hosted-sharepoint
mod_sp15_appscope,6ce01956-6bda-45bf-9b4a-cffc0687a913,office-web-widgetsexperimental-overview
mod_sp15_appscope,dd525e64-2472-4bc7-91be-86950f638ce4,include-a-web-part-in-a-webpage-on-the-add-in-web
mod_sp15_appscope,7cd5850f-cbf3-48d2-bcb7-59b8f4ed0e63,explore-the-app-manifest-structure-and-the-package-of-a-sharepoint-add-in
mod_sp15_appscope,29089af8-dbc0-49b7-a1a0-9e311f49c826,complete-basic-operations-using-javascript-library-code-in-sharepoint-2013
mod_sp15_appscope,5a69c9e3-73bf-4ed5-bc19-182056bdb394,complete-basic-operations-using-sharepoint-2013-client-library-code
mod_sp15_appscope,fddbb75f-9f6c-46d3-8d95-1d4a5e791dfa,sharepoint-net-server-csom-jsom-and-rest-api-index
mod_sp15_appscope,2de035a0-ac75-43bd-9665-5c5a59c4c590,get-to-know-the-sharepoint-2013-rest-service
mod_sp15_appscope,6c27681b-8667-48b2-b5b4-d460b4e1d2db,create-a-sharepoint-add-in-that-contains-a-document-template-and-a-task-pane-add
mod_sp15_appscope,1534a5f4-1d83-45b4-9714-3a1995677d85,work-with-external-data-in-sharepoint-2013
mod_sp15_appscope,bfdd0a58-2cc5-4805-ac89-4bd2fe6f3b09,create-ux-components-in-sharepoint-2013
mod_sp15_appscope,c050d056-8548-4496-a053-016779d723d9,handle-events-in-sharepoint-add-ins
mod_sp15_appscope,d97ab62e-129f-43f4-a825-fb5c3229d7c7,create-a-provider-hosted-add-in-that-includes-a-custom-sharepoint-list-and-conte
mod_sp15_appscope,9d7805e5-5ea8-4309-ba6a-d629281535af,get-user-identity-and-properties-in-sharepoint-2013
mod_sp15_appscope,907a9189-7ce3-469a-8c87-4cef26f03c73,localize-sharepoint-add-ins
mod_sp15_appscope,bde5647a-fff1-4b51-b67b-2139de79ce4a,authorization-and-authentication-of-sharepoint-add-ins
mod_sp15_appscope,6091c7e8-2301-48cb-9400-a882b80f6309,create-provider-hosted-sharepoint-add-ins-to-access-sap-data-by-using-the-sap-ga
mod_sp15_appscope,e858fce6-7a8f-4b1e-b053-64dc75345801,create-sharepoint-add-ins-that-can-be-used-by-anonymous-users
mod_sp15_appscope,6790bfdf-ae94-4115-8abd-df0087c0236f,convert-an-autohosted-sharepoint-add-in-to-a-provider-hosted-add-in
mod_sp15_appscope,0fa088c5-54c6-482c-84ed-51c4f77c4127,create-a-handler-for-the-update-event-in-sharepoint-add-ins
mod_sp15_appscope,6da6ac25-53b7-4dd2-8637-a86e7ca1f3ff,update-add-in-web-components-in-sharepoint-2013
mod_sp15_appscope,9c383a69-c2f6-4702-bd64-e77c9bd026b7,update-host-web-components-in-sharepoint-2013
mod_sp15_appscope,53679118-61af-4f25-91f4-a69af38ee6d0,update-remote-components-in-sharepoint-add-ins
mod_sp15_appscope,800ec8cd-a448-46bc-b41e-d4030eeb4048,url-strings-and-tokens-in-sharepoint-add-ins
mod_sp15_appscope,e3000415-50a0-426e-b304-b7de18f2f7d9,complete-basic-operations-using-sharepoint-2013-rest-endpoints
mod_sp15_appscope,956f3a09-bddc-4154-9cba-6143c914d60f,working-with-lists-and-list-items-with-rest
mod_sp15_appscope,4c051a49-6393-4a08-868a-4a51408842cf,working-with-folders-and-files-with-rest
mod_sp15_appscope,3eb5c797-c395-4661-88ca-f7800306d781,determine-sharepoint-rest-service-endpoint-uris
mod_sp15_appscope,d4b5c277-ed50-420c-8a9b-860342284b72,use-odata-query-operations-in-sharepoint-rest-requests
mod_sp15_appscope,fa4154ea-de8c-4f62-8a1b-8c70072eddce,navigate-the-sharepoint-data-structure-represented-in-the-rest-service
mod_sp15_appscope,7f85a4ec-594d-4eee-9c1a-7a5ad232e088,synchronize-sharepoint-items-using-the-rest-service
mod_sp15_appscope,b48a9cb8-131a-4bd4-af4c-a98017ee2e5a,upload-a-file-by-using-the-rest-api-and-jquery
mod_sp15_appscope,d5fcc26c-4e44-404b-aacf-e9351af8cc7d,set-custom-permissions-on-a-list-by-using-the-rest-interface
mod_sp15_appscope,d6aab58f-77d2-4f0d-a007-6d55ba865d07,make-batch-requests-with-the-rest-apis
mod_sp15_appscope,c33966ab-1515-407c-b1ac-8c653eab10dc,creating-sharepoint-add-ins-that-use-low-trust-authorization
mod_sp15_appscope,e63411ef-7137-4f1c-aac5-a3414ec88154,creating-sharepoint-add-ins-that-use-the-cross-domain-library
mod_sp15_appscope,135bf6be-b118-4d2c-8d40-27f5060b06f3,creating-sharepoint-add-ins-that-use-high-trust-authorization
mod_sp15_appscope,0942fdce-3227-496a-8873-399fc1dbb72c,three-ways-to-think-about-design-options-for-sharepoint-add-ins
mod_sp15_appscope,ae96572b-8f06-4fd3-854f-fc312f7f2d88,important-aspects-of-the-sharepoint-add-in-architecture-and-development-landscap
mod_sp15_appscope,2148980b-c2b6-4294-b8f7-cfc07f925091,secure-data-access-and-client-object-models-for-sharepoint-add-ins
mod_sp15_appscope,d60f409a-b292-4c06-8128-88629091b753,ux-design-for-sharepoint-add-ins
mod_sp15_appscope,a4a8f53c-27d7-43dc-b6db-aa7b1f1c7d45,sharepoint-add-ins-ux-design-guidelines
mod_sp15_appscope,526c8c4a-5cbb-4efc-87d9-23ac73655cf4,context-token-oauth-flow-for-sharepoint-add-ins
mod_sp15_appscope,e89e91c7-ea39-49b9-af5a-7f047a7e2ab7,authorization-code-oauth-flow-for-sharepoint-add-ins
mod_sp15_appscope,b437181d-bc70-4838-b43d-9f1bb744f0cb,handle-security-tokens-in-provider-hosted-low-trust-sharepoint-add-ins
mod_sp15_appscope,369d14f0-75c1-4383-8a2d-05b4030c44ea,replace-an-expiring-client-secret-in-a-sharepoint-add-in
mod_sp15_appscope,2f65ba3f-b246-4064-b4fb-ad18399d387a,use-an-office-365-sharepoint-site-to-authorize-provider-hosted-add-ins-on-an-on
mod_sp15_appscope,b528a23f-72c3-42cb-8265-1c5b9238d404,publish-a-cloud-business-add-in-to-sharepoint
mod_sp15_appscope,bc37ff5c-1285-40af-98ae-01286696242d,access-sharepoint-2013-data-from-add-ins-using-the-cross-domain-library
mod_sp15_appscope,3d24f916-60b2-4ea9-b182-82e33cad06e8,work-with-the-cross-domain-library-across-different-internet-explorer-security-z
mod_sp15_appscope,05b07b04-6c8b-4b7e-bd86-e32c589dfead,new-name-for-apps-for-sharepoint
mod_sp15_appscope,1b992485-6efe-4ea4-a18c-221689b0b66f,get-started-creating-sharepoint-hosted-sharepoint-add-ins
mod_sp15_appscope,3038dd73-41ee-436f-8c78-ef8e6869bf7b,get-started-creating-provider-hosted-sharepoint-add-ins
mod_sp15_appscope,7ee26ca1-eece-4c55-9864-af546c86f07c,create-cloud-business-add-ins
mod_sp15_appscope,71ddde4b-fac4-4d8c-aa2e-524f9c2c4c99,develop-sharepoint-add-ins
mod_sp15_appscope,f7ece24a-1684-4a3c-b9ef-814cbf206ca1,design-sharepoint-add-ins
mod_sp15_appscope,f5a92b98-5520-4bba-9131-b56d2a21a321,publish-sharepoint-add-ins
mod_sp15_appscope,6906eb86-8270-4098-8106-1e8d0d3c212e,tools-and-environments-for-developing-sharepoint-add-ins
mod_sp15_appscope,64d59df8-ba89-4653-bdeb-47bbd70beda2,get-started-developing-cloud-business-add-ins
mod_sp15_appscope,8cd707ff-e3b9-4cc7-a733-46e399d690c8,develop-cloud-business-add-ins
mod_sp15_appscope,85bc228c-44bd-4f9a-a24f-92b988f02d52,publish-cloud-business-add-ins
mod_sp15_appscope,d15a74a7-3c10-485a-9885-7ef11aaa0d90,deploying-and-installing-sharepoint-add-ins-methods-and-options
mod_sp15_appscope,3dba209d-cb98-4e5d-b4b2-fad31e667ca1,sharepoint-add-ins-update-process
mod_sp15_appscope,1ceb3142-a7a5-453e-920f-5f953a79401a,tenancies-and-deployment-scopes-for-sharepoint-add-ins
mod_sp15_appscope,8137d0fa-52e2-4771-8639-60af80f693bb,publish-sharepoint-add-ins-by-using-visual-studio
mod_sp15_appscope,d5380139-996e-4693-8a1a-5882165fa529,troubleshooting-document-libraries
mod_sp15_appscope,edc60550-67d2-4230-8e27-06a328c0d1f1,use-the-experimental-people-picker-widget-in-sharepoint-add-ins
mod_sp15_appscope,b1e26543-9d03-4759-80bf-e6ce729a1b19,use-the-experimental-desktop-list-view-widget-in-sharepoint-add-ins
